72951.26067,4.995845757,5.843207841,2.33,24998.97158,679627.5956
64290.23174,8.036715739,5.681964424,2.38,33405.46272,1165240.178
91046.04178,6.379433341,8.811819905,3.35,37086.62106,2190338.611
74764.54351,6.880992594,8.005417289,6.48,41102.07103,1887529.377
67770.04145,6.566819022,6.975128033,2.17,43254.28883,1296881.971
55401.93419,5.065131324,6.766730346,4.45,41185.75907,841276.5861
61802.53723,6.819804607,7.534136207,5.34,34558.8286,1111148.947
79752.98222,8.515333597,7.365420139,5.26,42127.94984,2045693.82
63086.57687,6.412612335,6.730808678,4.45,41735.63536,1330191.522
73864.86545,6.116369896,7.919674703,3.42,34509.45739,1536992.866
58083.43234,5.574115562,6.587956937,3.37,30541.77661,762130.4623
48855.35379,5.392023337,7.289207308,5.08,36994.27915,735952.1689
63555.72232,7.027469896,5.831951102,4.45,25154.95519,939490.9138
64595.73298,5.539684195,7.87004564,6.24,48444.1916,1385775.667
70716.54954,5.357952397,6.686834783,3.36,49098.69705,1210184.018
55516.65717,5.379114401,5.73259326,4.34,40537.09648,652991.1054
56143.36197,5.494289798,5.274642349,4.02,46896.62636,844695.5049
64076.90695,6.304319058,6.813231577,4.14,48697.73291,1185743.824
64144.07421,5.317710364,7.314848472,6.49,33561.7051,1022709.696
58387.21149,7.03675363,8.597407439,3.37,40569.55387,1638632.151
62092.69303,4.793230695,6.250972907,2.09,44095.06271,751952.5709
90882.84668,6.26765452,6.262597147,4.05,41950.4841,1771036.925
62731.88604,5.800414355,6.70792918,3.47,22165.26157,739027.6758
88691.12887,8.023801491,8.4173232,3.22,29837.2795,2096977.79
79807.71094,6.022509243,7.707193246,5.44,45333.75788,1903660.919
79631.58777,6.458639941,7.690480496,5.3,50954.00198,1882118.611
84448.27443,6.160821993,5.355105144,4.07,38602.89752,1480888.804
79072.5407,5.460826103,6.367672416,4.44,34897.86516,1304789.263
56879.82323,7.814889843,7.400684673,6.49,55439.32302,1407291.851
66889.09941,7.079593805,5.153574703,4.19,20501.00582,843536.172
61724.73573,4.49011823,7.466360145,4.42,20743.0949,763093.2314
67094.1142,5.869168986,4.714622729,4.35,27883.67732,743212.4195
71114.02235,6.14195796,5.963679594,4.07,37714.17499,1187113.826
65152.58023,5.893075466,6.116972741,3.17,47984.6123,1167421.739
